#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:88 out:85 type:P dur:2 cpbdur:2 q:26.36 aq:19.58 tex:1331799 mv:56217 misc:4528 imb:522 pmb:11828 smb:2050 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:26.39 aq:23.34 tex:96363 mv:31315 misc:11314 imb:28 pmb:4187 smb:10185 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:26.40 aq:24.71 tex:27228 mv:15006 misc:8518 imb:15 pmb:2200 smb:12185 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:26.38 aq:24.64 tex:19452 mv:11465 misc:6395 imb:6 pmb:1426 smb:12968 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:26.26 aq:19.38 tex:1324213 mv:58183 misc:4852 imb:619 pmb:11686 smb:2095 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:26.31 aq:23.23 tex:103048 mv:33226 misc:11430 imb:25 pmb:4612 smb:9763 d:s ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:26.34 aq:25.52 tex:21262 mv:14553 misc:6977 imb:6 pmb:1650 smb:12744 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:26.28 aq:24.56 tex:37916 mv:18913 misc:9763 imb:10 pmb:2858 smb:11532 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:26.29 aq:19.40 tex:1474211 mv:58499 misc:4458 imb:690 pmb:11935 smb:1775 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:26.27 aq:23.03 tex:168924 mv:38888 misc:12036 imb:39 pmb:6080 smb:8281 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:26.26 aq:24.73 tex:26317 mv:14203 misc:8056 imb:9 pmb:2044 smb:12347 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:26.28 aq:24.87 tex:23994 mv:12606 misc:7696 imb:5 pmb:1891 smb:12504 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:26.23 aq:19.27 tex:1427263 mv:58637 misc:4548 imb:630 pmb:11880 smb:1890 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:26.26 aq:23.12 tex:107034 mv:31129 misc:11445 imb:37 pmb:4060 smb:10303 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:26.28 aq:25.13 tex:15854 mv:10476 misc:6702 imb:3 pmb:1478 smb:12919 d:s ref:0 ;
